Particulars,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Lower Secondary School,Karnataka,Boy,,,,,,797526,808755,810049,845972,851421
Lower Secondary School,Karnataka,Girl,,,,,,718916,743692,747660,783919,795930
Lower Secondary School,Kerala,Total,1056441.0,1040489.0,1065738.0,1057664.0,1045855.0,1029690,1018355,1007419,1036266,1053789
Lower Secondary School,Kerala,Boy,,,,,,522215,514873,510399,526644,535480
Lower Secondary School,Kerala,Girl,,,,,,507475,503482,497020,509622,518309
Lower Secondary School,Lakshadweep,Total,2336.0,2555.0,2594.0,2949.0,2705.0,2491,2491,2645,2514,2291
Lower Secondary School,Lakshadweep,Boy,,,,,,1313,1313,1333,1270,1135
Lower Secondary School,Lakshadweep,Girl,,,,,,1178,1178,1312,1244,1156
Lower Secondary School,Madhya Pradesh,Total,960318.0,1121822.0,1228265.0,1320948.0,1423520.0,1605863,1817813,1899022,1966651,2082173
Lower Secondary School,Madhya Pradesh,Boy,,,,,,1008888,1128877,1167601,1214916,1288746
Lower Secondary School,Madhya Pradesh,Girl,,,,,,596975,688936,731421,751735,793427
Lower Secondary School,Maharashtra,Total,2727677.0,2815398.0,2876255.0,2892033.0,2978861.0,2957600,2940311,2980913,3052614,3075676
Lower Secondary School,Maharashtra,Boy,,,,,,1574925,1586947,1612691,1657513,1648662
Lower Secondary School,Maharashtra,Girl,,,,,,1382675,1353364,1368222,1395101,1427014
Lower Secondary School,Manipur,Total,67244.0,62921.0,70910.0,73565.0,75924.0,78353,78765,77696,80596,83959
Lower Secondary School,Manipur,Boy,,,,,,39955,40048,39844,40400,43151
Lower Secondary School,Manipur,Girl,,,,,,38398,38717,37852,40196,40808
Lower Secondary School,Meghalaya,Total,36151.0,44056.0,38396.0,48037.0,51073.0,56824,57555,54742,55406,55600
Lower Secondary School,Meghalaya,Boy,,,,,,27674,28011,26003,26364,27542
Lower Secondary School,Meghalaya,Girl,,,,,,29150,29544,28739,29042,28058
Lower Secondary School,Mizoram,Total,27162.0,21878.0,25685.0,26795.0,25066.0,27888,28137,28200,30421,31473
Lower Secondary School,Mizoram,Boy,,,,,,13999,14084,14252,15189,15601
Lower Secondary School,Mizoram,Girl,,,,,,13889,14053,13948,15232,15872
Lower Secondary School,Nagaland,Total,28429.0,21579.0,25074.0,29921.0,35056.0,35056,32000,32000,32000,32000
Lower Secondary School,Nagaland,Boy,,,,,,17628,16073,16073,16073,16073
Lower Secondary School,Nagaland,Girl,,,,,,17428,15927,15927,15927,15927
Lower Secondary School,Orissa,Total,684000.0,679272.0,844795.0,864018.0,867242.0,867041,877538,874518,908956,959653
Lower Secondary School,Orissa,Boy,,,,,,472618,473329,476512,483478,506255
Lower Secondary School,Orissa,Girl,,,,,,394423,404209,398006,425478,453398
Lower Secondary School,Puducherry,Total,33575.0,35061.0,36943.0,38869.0,40240.0,40904,41251,40660,41112,43655
Lower Secondary School,Puducherry,Boy,,,,,,20948,20905,20760,20567,22134
Lower Secondary School,Puducherry,Girl,,,,,,19956,20346,19900,20545,21521
Lower Secondary School,Punjab,Total,553909.0,502393.0,553388.0,551212.0,534081.0,524762,495933,579089,559183,652033
Lower Secondary School,Punjab,Boy,,,,,,291690,262655,313332,298787,352436
Lower Secondary School,Punjab,Girl,,,,,,233072,233278,265757,260396,299597
Lower Secondary School,Rajasthan,Total,993954.0,982525.0,1110161.0,1223388.0,1313886.0,1430189,1603483,1697934,1758944,1896236
Lower Secondary School,Rajasthan,Boy,,,,,,949337,1045666,1092947,1104029,1161686
Lower Secondary School,Rajasthan,Girl,,,,,,480852,557817,604987,654915,734550
Lower Secondary School,Sikkim,Total,8246.0,11507.0,9288.0,10766.0,11504.0,11269,11634,11633,12589,12589
Lower Secondary School,Sikkim,Boy,,,,,,5501,5767,5667,5883,5883
Lower Secondary School,Sikkim,Girl,,,,,,5768,5867,5966,6706,6706
Lower Secondary School,Tamil Nadu,Total,1586257.0,1680747.0,1760110.0,1898649.0,1924961.0,2000625,2063012,1857810,1876194,1873989
Lower Secondary School,Tamil Nadu,Boy,,,,,,1028864,1057914,955242,943659,950485
Lower Secondary School,Tamil Nadu,Girl,,,,,,971761,1005098,902568,932535,923504
Lower Secondary School,Tripura,Total,76559.0,82637.0,87298.0,87812.0,90155.0,91235,92788,93088,106841,113965
Lower Secondary School,Tripura,Boy,,,,,,48633,47955,48317,54693,57879
Lower Secondary School,Tripura,Girl,,,,,,42602,44833,44771,52148,56086
Lower Secondary School,Uttar Pradesh,Total,2314361.0,3801052.0,4030214.0,4113809.0,4214344.0,4318905,5727172,6071412,6456556,6076549
Lower Secondary School,Uttar Pradesh,Boy,,,,,,2815525,3339349,3496983,3715957,3499996
Lower Secondary School,Uttar Pradesh,Girl,,,,,,1503380,2387823,2574429,2740599,2576553
Lower Secondary School,Uttarakhand,Total,268216.0,309842.0,311226.0,316041.0,331432.0,334167,338462,349063,343080,354105
Lower Secondary School,Uttarakhand,Boy,,,,,,187076,190577,183201,186071,188834
Lower Secondary School,Uttarakhand,Girl,,,,,,147091,147885,165862,157009,165271
Lower Secondary School,West Bengal,Total,1376231.0,1374153.0,1498889.0,1471873.0,1599208.0,1613606,1723541,1759853,1965622,2104661
Lower Secondary School,West Bengal,Boy,,,,,,913600,948809,969941,965613,1058684
Lower Secondary School,West Bengal,Girl,,,,,,700006,774732,789912,1000009,1045977
Senior Secondary School,Andaman and Nicobar Islands,Total,5524.0,6093.0,6674.0,6323.0,6544.0,6946,7727,8354,8744,9044
Senior Secondary School,Andaman and Nicobar Islands,Boy,,,,,,3427,3886,4130,4317,4566
Senior Secondary School,Andaman and Nicobar Islands,Girl,,,,,,3519,3841,4224,4427,4478
Senior Secondary School,Andhra Pradesh,Total,1089661.0,1105571.0,1294617.0,1391722.0,1384886.0,1398616,1430572,1473913,1473913,1580561
Senior Secondary School,Andhra Pradesh,Boy,,,,,,812559,813304,813363,813363,849508
Senior Secondary School,Andhra Pradesh,Girl,,,,,,586057,617268,660550,660550,731053
Senior Secondary School,Arunachal Pradesh,Total,11143.0,13252.0,13231.0,14176.0,13948.0,15330,17577,18461,20861,23029
Senior Secondary School,Arunachal Pradesh,Boy,,,,,,9217,10130,10192,11218,12378
Senior Secondary School,Arunachal Pradesh,Girl,,,,,,6113,7447,8269,9643,10651
Senior Secondary School,Assam,Total,329888.0,192586.0,345806.0,174891.0,179312.0,186485,139140,155050,175108,221222
Senior Secondary School,Assam,Boy,,,,,,116706,81244,89962,93212,125455
Senior Secondary School,Assam,Girl,,,,,,69779,57896,65088,81896,95767
Senior Secondary School,Bihar,Total,286865.0,453054.0,373282.0,374153.0,358595.0,475452,493706,561609,721569,1019788
Senior Secondary School,Bihar,Boy,,,,,,299781,319199,354033,428971,610598
Senior Secondary School,Bihar,Girl,,,,,,175671,174507,207576,292598,409190
Senior Secondary School,Chandigarh,Total,17420.0,21831.0,18684.0,20764.0,22257.0,23184,25235,27417,27888,26256
Senior Secondary School,Chandigarh,Boy,,,,,,12569,13713,15065,15426,14306
Senior Secondary School,Chandigarh,Girl,,,,,,10615,11522,12352,12462,11950
Senior Secondary School,Chhattisgarh,Total,226008.0,186703.0,260479.0,278888.0,226112.0,227163,231237,287799,302996,352075
Senior Secondary School,Chhattisgarh,Boy,,,,,,139409,141911,164562,173556,196994
Senior Secondary School,Chhattisgarh,Girl,,,,,,87754,89326,123237,129440,155081
Senior Secondary School,Dadra and Nagar Haveli,Total,1696.0,1850.0,1785.0,2006.0,2140.0,2189,3597,3720,2999,3368
Senior Secondary School,Dadra and Nagar Haveli,Boy,,,,,,1440,2289,2273,1750,1982
Senior Secondary School,Dadra and Nagar Haveli,Girl,,,,,,749,1308,1447,1249,1386
Senior Secondary School,Daman and Diu,Total,2303.0,2065.0,1632.0,1766.0,2054.0,2639,2726,2904,3060,3140
Senior Secondary School,Daman and Diu,Boy,,,,,,1465,1439,1497,1600,1684
Senior Secondary School,Daman and Diu,Girl,,,,,,1174,1287,1407,1460,1456
Senior Secondary School,Delhi,Total,220654.0,230891.0,237355.0,258712.0,281652.0,318637,325435,361272,389293,423950
Senior Secondary School,Delhi,Boy,,,,,,170314,174342,194018,208045,225347
Senior Secondary School,Delhi,Girl,,,,,,148323,151093,167254,181248,198603
Senior Secondary School,Goa,Total,22868.0,21793.0,23743.0,23820.0,22929.0,24463,26914,27340,27488,29184
Senior Secondary School,Goa,Boy,,,,,,12297,13391,13455,13659,14591
Senior Secondary School,Goa,Girl,,,,,,12166,13523,13885,13829,14593
Senior Secondary School,Gujarat,Total,606600.0,623379.0,570008.0,477180.0,568188.0,625579,625124,804761,813753,845748
Senior Secondary School,Gujarat,Boy,,,,,,367971,360858,466603,464256,484324
Senior Secondary School,Gujarat,Girl,,,,,,257608,264266,338158,349497,361424
Senior Secondary School,Haryana,Total,349282.0,376927.0,366853.0,344313.0,331649.0,378690,446730,452760,629365,629365
Senior Secondary School,Haryana,Boy,,,,,,217997,256083,236913,338641,338641
Senior Secondary School,Haryana,Girl,,,,,,160693,190647,215847,290724,290724
Senior Secondary School,Himachal Pradesh,Total,123318.0,142787.0,151315.0,339732.0,339732.0,165691,161308,162758,177824,196758
Senior Secondary School,Himachal Pradesh,Boy,,,,,,93854,88731,89529,91220,103092
Senior Secondary School,Himachal Pradesh,Girl,,,,,,71837,72577,73229,86604,93666
Senior Secondary School,Jammu and Kashmir,Total,114224.0,119362.0,137007.0,138720.0,144225.0,144225,144225,231723,218258,218258
Senior Secondary School,Jammu and Kashmir,Boy,,,,,,80100,80100,126303,116332,116332
Senior Secondary School,Jammu and Kashmir,Girl,,,,,,64125,64125,105420,101926,101926
Senior Secondary School,Jharkhand,Total,12279.0,45784.0,44334.0,30621.0,41849.0,47629,94947,94947,107632,186814
Senior Secondary School,Jharkhand,Boy,,,,,,29115,55408,55408,58686,101702
Senior Secondary School,Jharkhand,Girl,,,,,,18514,39539,39539,48946,85112
Senior Secondary School,Karnataka,Total,608036.0,437883.0,662914.0,782665.0,782703.0,903321,967989,963453,987645,987645
Senior Secondary School,Karnataka,Boy,,,,,,482104,504787,487398,496916,496916
Senior Secondary School,Karnataka,Girl,,,,,,421217,463202,476055,490729,490729
Senior Secondary School,Kerala,Total,401851.0,436047.0,85185.0,323286.0,421340.0,588995,538227,634517,693787,711618
Senior Secondary School,Kerala,Boy,,,,,,272934,245423,294688,323855,337274
Senior Secondary School,Kerala,Girl,,,,,,316061,292804,339829,369932,374344
Senior Secondary School,Lakshadweep,Total,804.0,961.0,1068.0,1191.0,1587.0,2046,2046,2156,2336,2149
Senior Secondary School,Lakshadweep,Boy,,,,,,1012,1012,1109,1175,1038
Senior Secondary School,Lakshadweep,Girl,,,,,,1034,1034,1047,1161,1111
