Table Name,State Code,District Code,Tehsil Code,Area Name,Mother Tongue Code,Mother Tongue,Total - Persons,Total - Males,Total - Females,Rural - Persons,Rural - Males,Rural - Females,Urban - Persons,Urban - Males,Urban - Females
C0116,09,00,0000,State - UTTAR PRADESH  09,094003, 1 NOCTE,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,095000,95 PAITE,12,6,6,0,0,0,12,6,6
C0116,09,00,0000,State - UTTAR PRADESH  09,095002, 1 PAITE,12,6,6,0,0,0,12,6,6
C0116,09,00,0000,State - UTTAR PRADESH  09,097000,97 PAWI,1,0,1,1,0,1,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,097001, 1 PAWI,1,0,1,1,0,1,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,098000,98 PERSIAN,405,227,178,349,194,155,56,33,23
C0116,09,00,0000,State - UTTAR PRADESH  09,098001, 1 PERSIAN,405,227,178,349,194,155,56,33,23
C0116,09,00,0000,State - UTTAR PRADESH  09,104000,104 SANGTAM,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,104003, 1 SANGTAM,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,105000,105 SAVARA,1,0,1,0,0,0,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,105999,105 Others,1,0,1,0,0,0,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,108000,108 SHINA,2,2,0,0,0,0,2,2,0
C0116,09,00,0000,State - UTTAR PRADESH  09,108005, 1 SHINA,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,108999,108 Others,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,110000,110 TAMANG,30,20,10,27,19,8,3,1,2
C0116,09,00,0000,State - UTTAR PRADESH  09,110001, 1 TAMANG,30,20,10,27,19,8,3,1,2
C0116,09,00,0000,State - UTTAR PRADESH  09,111000,111 TANGKHUL,1,1,0,0,0,0,1,1,0
